cups	∪︀	\cup
mcomma	⨩	\not_defined
topbot	⌶	\not_defined
LeftTriangleEqual	⊴	\not_defined
forkv	⫙	\not_defined
nparallel	∦	\nparallel
nsccue	⋡	\nsucccurlyeq
Amacr	Ā	\Amacron
Emacr	Ē	\Emacron
ThickSpace	  	\medspace
ac	∾	\not_defined
UnderBracket	⎵	\not_defined
Iota	Ι	\greekIota
ic	⁣	\not_defined
blacktriangleright	▸	\blacktriangleleft
cularrp	⤽	\not_defined
scnsim	⋩	\succnsim
And	⩓	\not_defined
nlArr	⇍	\nLeftarrow
circeq	≗	\circeq
easter	⩮	\not_defined
DoubleLeftTee	⫤	\not_defined
Sc	⪼	\not_defined
acute	´	\textacute
Backslash	∖	\setminus
ncong	≇	\approxnEq
leftleftarrows	⇇	\leftleftarrows
varkappa	ϰ	\varkappa
uHar	⥣	\not_defined
LongRightArrow	⟶	\longrightarrow
plusb	⊞	\boxplus
bcong	≌	\not_defined
boxDl	╖	\not_defined
longmapsto	⟼	\longmapsto
circlearrowleft	↺	\circlearrowright
b.alpha	𝛂	\not_defined
CloseCurlyQuote	’	\quoteright
bnequiv	≡⃥	\equiv
bnot	⌐	\not_defined
iota	ι	\greekiota
compfn	∘	\circ
nvrArr	⤃	\not_defined
nrarrw	↝̸	\rightwavearrow
and	∧	\wedge
lesdot	⩿	\not_defined
ntriangleleft	⋪	\ntriangleright
varsubsetneq	⊊︀	\subsetneq
gesdot	⪀	\not_defined
cylcty	⌭	\not_defined
Gdot	Ġ	\Gdotaccent
middot	·	\periodcentered
Idot	İ	\Idotaccent
lEg	⪋	\lesseqqgtr
bigcirc	◯	\bigcirc
Cdot	Ċ	\Cdotaccent
CloseCurlyDoubleQuote	”	\quotedblright
Edot	Ė	\Edotaccent
b.delta	𝛅	\not_defined
langle	⟨	\langle
Fouriertrf	ℱ	\not_defined
pitchfork	⋔	\pitchfork
rationals	ℚ	\rationals
supmult	⫂	\not_defined
numsp	 	\figurespace
NotRightTriangleBar	⧐̸	\not_defined
mapstoup	↥	\mapsup
acd	∿	\not_defined
Square	□	\square
gescc	⪩	\not_defined
omega	ω	\greekomega
rangle	⟩	\rangle
cirmid	⫯	\not_defined
pluse	⩲	\not_defined
cdot	ċ	\cdotaccent
heartsuit	♥	\not_defined
edot	ė	\edotaccent
zdot	ż	\zdotaccent
dHar	⥥	\not_defined
odot	⊙	\odot
profalar	⌮	\not_defined
eqslantless	⪕	\eqslantless
lHar	⥢	\not_defined
DiacriticalTilde	˜	\texttilde
LeftTeeVector	⥚	\not_defined
Omega	Ω	\greekOmega
TildeEqual	≃	\simeq
bullet	•	\textbullet
ubrcy	ў	\cyrillicushrt
PrecedesEqual	⪯	\preceq
equals	=	\eq
nsqsube	⋢	\nsqsubseteq
VerticalTilde	≀	\wr
nvDash	⊭	\nvDash
Leftrightarrow	⇔	\Leftrightarrow
barwed	⌅	\not_defined
planck	ℏ	\hslash
supdot	⪾	\not_defined
comma	,	\textcomma
GreaterSlantEqual	⩾	\geqslant
permil	‰	\perthousand
Ubrcy	Ў	\cyrillicUSHRT
cupdot	⊍	\not_defined
blank	␣	\not_defined
andv	⩚	\not_defined
napE	⩰̸	\not_defined
b.Gamma	𝚪	\not_defined
plussim	⨦	\not_defined
plusacir	⨣	\not_defined
elsdot	⪗	\not_defined
